protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
NP_705679.1,NP_705679.1 gp55 [Burkholderia phage Bcep781],PF07208,Protein of unknown function (DUF1414),NC_004333,Burkholderia phage Bcep781
NP_705680.2,NP_705680.2 gp56 [Burkholderia phage Bcep781],PF09693,Phage uncharacterised protein (Phage_XkdX),NC_004333,Burkholderia phage Bcep781
NP_720335.1,NP_720335.1 DNA ejection [Salmonella phage ST64T],PF05332,Vesivirus VP2 protein,NC_004348,Salmonella phage ST64T
NP_757382.1,NP_757382.1 Rz-like spanin [Bacteriophage P2],PF10828,Protein of unknown function (DUF2570),NC_001895,Bacteriophage P2
NP_758429.1,NP_758429.1 hypothetical protein MM1p28 [Streptococcus phage MM1],PF08281,Sigma-70 region 4,NC_003050,Streptococcus phage MM1
NP_758431.1,NP_758431.1 hypothetical protein MM1p30 [Streptococcus phage MM1],PF14464,Prokaryotic homologs of the JAB domain,NC_003050,Streptococcus phage MM1
NP_758908.1,NP_758908.1 ORF15 [Vibrio phage VHML],PF06298,Photosystem II protein Y (PsbY),NC_004456,Vibrio phage VHML
NP_758911.1,NP_758911.1 ORF18 [Vibrio phage VHML],PF10805,Protein of unknown function (DUF2730),NC_004456,Vibrio phage VHML
NP_758944.1,NP_758944.1 ORF53 [Vibrio phage VHML],PF17466,Family of unknown function,NC_004456,Vibrio phage VHML
NP_758947.1,NP_758947.1 ORF56 [Vibrio phage VHML],PF07328,T-DNA border endonuclease VirD1,NC_004456,Vibrio phage VHML
NP_775190.1,NP_775190.1 ORF.68 [Pseudomonas phage PaP3],PF10729,Cell division activator CedA,NC_004466,Pseudomonas phage PaP3
NP_775192.1,NP_775192.1 ORF.66 [Pseudomonas phage PaP3],PF05082,Rop-like,NC_004466,Pseudomonas phage PaP3
NP_775201.1,NP_775201.1 ORF.57 [Pseudomonas phage PaP3],PF02723,Coronavirus small envelope protein E,NC_004466,Pseudomonas phage PaP3
NP_775233.1,NP_775233.1 ORF.24 [Pseudomonas phage PaP3],PF05854,Non-histone chromosomal protein MC1,NC_004466,Pseudomonas phage PaP3
NP_775235.1,NP_775235.1 ORF.23 [Pseudomonas phage PaP3],PF17383,Uncharacterized KorC regulated protein A,NC_004466,Pseudomonas phage PaP3
NP_775240.1,NP_775240.1 virion structural protein [Pseudomonas phage PaP3],PF04687,Microvirus H protein (pilot protein),NC_004466,Pseudomonas phage PaP3
NP_775247.1,NP_775247.1 ORF.11 [Pseudomonas phage PaP3],PF10874,Protein of unknown function (DUF2746),NC_004466,Pseudomonas phage PaP3
NP_803261.1,NP_803261.1 hypothetical protein phi11_08 [Staphylococcus phage phi 11],PF10922,Bacteriophage T7-like gene 1.2,NC_004615,Staphylococcus phage phi 11
NP_803281.1,NP_803281.1 rinA [Staphylococcus phage phi 11],PF04297,Putative helix-turn-helix protein YlxM / p13 like,NC_004615,Staphylococcus phage phi 11
NP_803293.1,NP_803293.1 tail chaperone protein [Staphylococcus phage phi 11],PF10109,Phage tail assembly chaperone proteins E or 41 or 14,NC_004615,Staphylococcus phage phi 11
NP_803309.1,NP_803309.1 hypothetical protein phi12p03 [Staphylococcus phage phi 12],PF17412,Family of unknown function,NC_004616,Staphylococcus phage phi 12
NP_803370.1,NP_803370.1 replication initiation protein [Staphylococcus phage phi 13],PF07261,Replication initiation and membrane attachment,NC_004617,Staphylococcus phage phi 13
NP_803568.1,NP_803568.1 PHIKZ002 [Pseudomonas phage phiKZ],PF01785,Closterovirus coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803572.1,NP_803572.1 PHIKZ006 [Pseudomonas phage phiKZ],PF07126,Cell-division protein ZapC C-terminal,NC_004629,Pseudomonas phage phiKZ
NP_803584.1,NP_803584.1 PHIKZ018 [Pseudomonas phage phiKZ],PF08868,YugN-like family,NC_004629,Pseudomonas phage phiKZ
NP_803588.1,NP_803588.1 PHIKZ022 [Pseudomonas phage phiKZ],PF10788,Protein of unknown function (DUF2603),NC_004629,Pseudomonas phage phiKZ
NP_803597.1,NP_803597.1 PHIKZ031 [Pseudomonas phage phiKZ],PF05472,DNA replication terminus site-binding protein (Ter protein),NC_004629,Pseudomonas phage phiKZ
NP_803605.1,NP_803605.1 tubulin PhuZ [Pseudomonas phage phiKZ],PF00091,Tubulin/FtsZ family GTPase domain,NC_004629,Pseudomonas phage phiKZ
NP_803615.1,NP_803615.1 PHIKZ049 [Pseudomonas phage phiKZ],PF01819,Levivirus coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803617.1,NP_803617.1 PHIKZ051 [Pseudomonas phage phiKZ],PF05852,Gammaherpesvirus protein of unknown function (DUF848),NC_004629,Pseudomonas phage phiKZ
NP_803618.2,NP_803618.2 PHIKZ052 [Pseudomonas phage phiKZ],PF05518,Totivirus coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803630.1,NP_803630.1 PHIKZ064 [Pseudomonas phage phiKZ],PF03206,Nitrogen fixation protein NifW,NC_004629,Pseudomonas phage phiKZ
NP_803634.1,NP_803634.1 PHIKZ068 [Pseudomonas phage phiKZ],PF01718,Orbivirus non-structural protein NS1 or hydrophobic tubular protein,NC_004629,Pseudomonas phage phiKZ
NP_803647.1,NP_803647.1 virion structural protein [Pseudomonas phage phiKZ],PF09615,CRISPR-associated protein (Cas_Csy3),NC_004629,Pseudomonas phage phiKZ
NP_803651.1,NP_803651.1 virion structural protein [Pseudomonas phage phiKZ],PF03338,Poxvirus J1 protein,NC_004629,Pseudomonas phage phiKZ
NP_803657.2,NP_803657.2 virion structural protein [Pseudomonas phage phiKZ],PF00721,Virus coat protein (TMV like),NC_004629,Pseudomonas phage phiKZ
NP_803666.1,NP_803666.1 PHIKZ100 [Pseudomonas phage phiKZ],PF09611,CRISPR-associated protein (Cas_Csy1),NC_004629,Pseudomonas phage phiKZ
NP_803669.1,NP_803669.1 PHIKZ103 [Pseudomonas phage phiKZ],PF19080,Family of unknown function (DUF5772),NC_004629,Pseudomonas phage phiKZ
NP_803672.1,NP_803672.1 PHIKZ106 [Pseudomonas phage phiKZ],PF13797,Post-transcriptional regulator,NC_004629,Pseudomonas phage phiKZ
NP_803673.1,NP_803673.1 PHIKZ107 [Pseudomonas phage phiKZ],PF11099,Apoptosis regulator M11L like,NC_004629,Pseudomonas phage phiKZ
NP_803675.1,NP_803675.1 PHIKZ109 [Pseudomonas phage phiKZ],PF10910,Protein of unknown function (DUF2744),NC_004629,Pseudomonas phage phiKZ
NP_803678.1,NP_803678.1 PHIKZ112 [Pseudomonas phage phiKZ],PF01886,Protein of unknown function DUF61,NC_004629,Pseudomonas phage phiKZ
NP_803679.1,NP_803679.1 PHIKZ113 [Pseudomonas phage phiKZ],PF03744,6-carboxyhexanoate--CoA ligase,NC_004629,Pseudomonas phage phiKZ
NP_803686.1,NP_803686.1 major head protein [Pseudomonas phage phiKZ],PF05518,Totivirus coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803688.1,NP_803688.1 PHIKZ122 [Pseudomonas phage phiKZ],PF00952,Bunyavirus nucleocapsid (N) protein,NC_004629,Pseudomonas phage phiKZ
NP_803694.1,NP_803694.1 PHIKZ128 [Pseudomonas phage phiKZ],PF00898,Orbivirus outer capsid protein VP2,NC_004629,Pseudomonas phage phiKZ
NP_803696.1,NP_803696.1 PHIKZ130 [Pseudomonas phage phiKZ],PF09220,L-A virus major coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803702.1,NP_803702.1 PHIKZ136 [Pseudomonas phage phiKZ],PF00161,Ribosome inactivating protein,NC_004629,Pseudomonas phage phiKZ
NP_803705.1,NP_803705.1 PHIKZ139 [Pseudomonas phage phiKZ],PF18138,Bacterial HORMA domain family 1,NC_004629,Pseudomonas phage phiKZ
NP_803713.1,NP_803713.1 PHIKZ147 [Pseudomonas phage phiKZ],PF07826,IMP cyclohydrolase-like protein,NC_004629,Pseudomonas phage phiKZ
NP_803714.1,NP_803714.1 PHIKZ148 [Pseudomonas phage phiKZ],PF06489,Orthopoxvirus A49R protein,NC_004629,Pseudomonas phage phiKZ
NP_803716.1,NP_803716.1 PHIKZ150 [Pseudomonas phage phiKZ],PF03206,Nitrogen fixation protein NifW,NC_004629,Pseudomonas phage phiKZ
NP_803723.1,NP_803723.1 virion structural protein [Pseudomonas phage phiKZ],PF05993,Reovirus major virion structural protein Mu-1/Mu-1C (M2),NC_004629,Pseudomonas phage phiKZ
NP_803726.1,NP_803726.1 virion structural protein [Pseudomonas phage phiKZ],PF01819,Levivirus coat protein,NC_004629,Pseudomonas phage phiKZ
NP_803733.1,NP_803733.1 PHIKZ167 [Pseudomonas phage phiKZ],PF03048,UL92 family,NC_004629,Pseudomonas phage phiKZ
NP_803738.1,NP_803738.1 PHIKZ172 [Pseudomonas phage phiKZ],PF12622,mRNA biogenesis factor,NC_004629,Pseudomonas phage phiKZ
NP_803740.1,NP_803740.1 PHIKZ174 [Pseudomonas phage phiKZ],PF05993,Reovirus major virion structural protein Mu-1/Mu-1C (M2),NC_004629,Pseudomonas phage phiKZ
NP_803743.1,NP_803743.1 PHIKZ177 [Pseudomonas phage phiKZ],PF04441,Poxvirus early transcription factor (VETF) large subunit,NC_004629,Pseudomonas phage phiKZ
NP_803749.1,NP_803749.1 PHIKZ183 [Pseudomonas phage phiKZ],PF03206,Nitrogen fixation protein NifW,NC_004629,Pseudomonas phage phiKZ
NP_803751.1,NP_803751.1 PHIKZ185 [Pseudomonas phage phiKZ],PF08617,Kinase binding protein CGI-121,NC_004629,Pseudomonas phage phiKZ
NP_803757.1,NP_803757.1 PHIKZ191 [Pseudomonas phage phiKZ],PF03673,Uncharacterised protein family (UPF0128),NC_004629,Pseudomonas phage phiKZ
NP_803766.1,NP_803766.1 PHIKZ200 [Pseudomonas phage phiKZ],PF07447,Matrix protein VP40,NC_004629,Pseudomonas phage phiKZ
NP_803771.1,NP_803771.1 PHIKZ205 [Pseudomonas phage phiKZ],PF03113,Respiratory synctial virus non-structural protein NS2,NC_004629,Pseudomonas phage phiKZ
NP_803775.1,NP_803775.1 PHIKZ209 [Pseudomonas phage phiKZ],PF11603,Sir1 ORC-binding domain,NC_004629,Pseudomonas phage phiKZ
NP_803781.1,NP_803781.1 PHIKZ215 [Pseudomonas phage phiKZ],PF06569,Protein of unknown function (DUF1128),NC_004629,Pseudomonas phage phiKZ
NP_803782.1,NP_803782.1 PHIKZ216 [Pseudomonas phage phiKZ],PF00922,Vesiculovirus phosphoprotein,NC_004629,Pseudomonas phage phiKZ
NP_803793.1,NP_803793.1 PHIKZ227 [Pseudomonas phage phiKZ],PF11603,Sir1 ORC-binding domain,NC_004629,Pseudomonas phage phiKZ
NP_803797.1,NP_803797.1 PHIKZ231 [Pseudomonas phage phiKZ],PF04219,Protein of unknown function DUF,NC_004629,Pseudomonas phage phiKZ
NP_803799.1,NP_803799.1 PHIKZ233 [Pseudomonas phage phiKZ],PF03744,6-carboxyhexanoate--CoA ligase,NC_004629,Pseudomonas phage phiKZ
NP_803815.1,NP_803815.1 PHIKZ249 [Pseudomonas phage phiKZ],PF10572,UPF0556 domain,NC_004629,Pseudomonas phage phiKZ
NP_803820.1,NP_803820.1 PHIKZ254 [Pseudomonas phage phiKZ],PF09795,Autophagy-related protein 31,NC_004629,Pseudomonas phage phiKZ
NP_803823.1,NP_803823.1 PHIKZ257 [Pseudomonas phage phiKZ],PF03887,YfbU domain,NC_004629,Pseudomonas phage phiKZ
NP_803825.1,NP_803825.1 PHIKZ259 [Pseudomonas phage phiKZ],PF05963,Cytomegalovirus US3 protein,NC_004629,Pseudomonas phage phiKZ
NP_803829.1,NP_803829.1 PHIKZ263 [Pseudomonas phage phiKZ],PF05720,Cell-cell adhesion domain,NC_004629,Pseudomonas phage phiKZ
NP_803835.1,NP_803835.1 PHIKZ269 [Pseudomonas phage phiKZ],PF04319,NifZ domain,NC_004629,Pseudomonas phage phiKZ
NP_803836.1,NP_803836.1 PHIKZ270 [Pseudomonas phage phiKZ],PF03438,Pneumovirus NS1 protein,NC_004629,Pseudomonas phage phiKZ
NP_803838.1,NP_803838.1 endonuclease [Pseudomonas phage phiKZ],PF06591,T4-like phage nuclear disruption protein (Ndd),NC_004629,Pseudomonas phage phiKZ
NP_803853.1,NP_803853.1 PHIKZ287 [Pseudomonas phage phiKZ],PF07126,Cell-division protein ZapC C-terminal,NC_004629,Pseudomonas phage phiKZ
NP_803860.1,NP_803860.1 PHIKZ294 [Pseudomonas phage phiKZ],PF05112,Baculovirus P47 protein,NC_004629,Pseudomonas phage phiKZ
NP_803868.1,NP_803868.1 PHIKZ302 [Pseudomonas phage phiKZ],PF00721,Virus coat protein (TMV like),NC_004629,Pseudomonas phage phiKZ
NP_813748.1,NP_813748.1 RNA polymerase [Pseudomonas phage gh-1],PF08176,Small acid-soluble spore protein K family,NC_004665,Pseudomonas phage gh-1
NP_813762.1,NP_813762.1 hypothetical protein gh-1p16 [Pseudomonas phage gh-1],PF05082,Rop-like,NC_004665,Pseudomonas phage gh-1
NP_813763.1,NP_813763.1 hypothetical protein gh-1p17 [Pseudomonas phage gh-1],PF05472,DNA replication terminus site-binding protein (Ter protein),NC_004665,Pseudomonas phage gh-1
NP_813769.1,NP_813769.1 hypothetical protein gh-1p23 [Pseudomonas phage gh-1],PF07068,Major capsid protein Gp23,NC_004665,Pseudomonas phage gh-1
NP_813808.1,NP_813808.1 gp47.1 hypothetical predicted membrane protein [Escherichia phage T4],PF01848,Hok/gef family,NC_000866,Escherichia phage T4
NP_817308.1,NP_817308.1 tail protein [Staphylococcus phage phi44AHJD],PF07781,Reovirus minor core protein Mu-2,NC_004678,Staphylococcus phage phi44AHJD
NP_817368.1,NP_817368.1 hypothetical protein PBI_CHE8_30 [Mycobacterium phage Che8],PF02529,Cytochrome B6-F complex subunit 5,NC_004680,Mycobacterium phage Che8
NP_817377.2,NP_817377.2 hypothetical protein PBI_CHE8_39 [Mycobacterium phage Che8],PF19978,Tail virion protein G7P,NC_004680,Mycobacterium phage Che8
NP_817378.1,NP_817378.1 hypothetical protein PBI_CHE8_40 [Mycobacterium phage Che8],PF06794,Uncharacterised protein family (UPF0270),NC_004680,Mycobacterium phage Che8
NP_817388.1,NP_817388.1 hypothetical protein PBI_CHE8_50 [Mycobacterium phage Che8],PF10664,Cyanobacterial and plastid NDH-1 subunit M,NC_004680,Mycobacterium phage Che8
NP_817398.1,NP_817398.1 hypothetical protein PBI_CHE8_60 [Mycobacterium phage Che8],PF03742,PetN,NC_004680,Mycobacterium phage Che8
NP_817410.1,NP_817410.1 hypothetical protein PBI_CHE8_72 [Mycobacterium phage Che8],PF07465,Photosystem I protein M (PsaM),NC_004680,Mycobacterium phage Che8
NP_817412.1,NP_817412.1 hypothetical protein PBI_CHE8_74 [Mycobacterium phage Che8],PF05864,Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7),NC_004680,Mycobacterium phage Che8
NP_817436.2,NP_817436.2 hypothetical protein PBI_CHE8_98 [Mycobacterium phage Che8],PF10959,Protein of unknown function (DUF2761),NC_004680,Mycobacterium phage Che8
NP_817444.1,NP_817444.1 hypothetical protein PBI_CHE8_106 [Mycobacterium phage Che8],PF04496,Herpesvirus UL35 family,NC_004680,Mycobacterium phage Che8
NP_817451.1,NP_817451.1 gp1 [Mycobacterium phage Cjw1],PF03206,Nitrogen fixation protein NifW,NC_004681,Mycobacterium phage Cjw1
NP_817459.1,NP_817459.1 gp9 [Mycobacterium phage Cjw1],PF06569,Protein of unknown function (DUF1128),NC_004681,Mycobacterium phage Cjw1
NP_817463.1,NP_817463.1 head-tail connector protein [Mycobacterium phage Cjw1],PF01172,Shwachman-Bodian-Diamond syndrome (SBDS) protein,NC_004681,Mycobacterium phage Cjw1
NP_817481.1,NP_817481.1 gp31 [Mycobacterium phage Cjw1],PF11402,Antifungal protein,NC_004681,Mycobacterium phage Cjw1
NP_817483.1,NP_817483.1 holin [Mycobacterium phage Cjw1],PF16081,Mycobacterial 2 TMS Phage Holin (M2 Hol) Family,NC_004681,Mycobacterium phage Cjw1
NP_817484.1,NP_817484.1 gp34 [Mycobacterium phage Cjw1],PF09228,Prokaryotic Transcriptional repressor TraM,NC_004681,Mycobacterium phage Cjw1
NP_817503.1,NP_817503.1 gp54 [Mycobacterium phage Cjw1],PF00477,Small hydrophilic plant seed protein,NC_004681,Mycobacterium phage Cjw1
NP_817507.1,NP_817507.1 gp58 [Mycobacterium phage Cjw1],PF14141,YqzM-like protein,NC_004681,Mycobacterium phage Cjw1
NP_817508.1,NP_817508.1 gp59 [Mycobacterium phage Cjw1],PF00301,Rubredoxin,NC_004681,Mycobacterium phage Cjw1
NP_817512.1,NP_817512.1 gp63 [Mycobacterium phage Cjw1],PF10705,Chloroplast protein precursor Ycf15 putative,NC_004681,Mycobacterium phage Cjw1
NP_817521.1,NP_817521.1 gp72 [Mycobacterium phage Cjw1],PF03887,YfbU domain,NC_004681,Mycobacterium phage Cjw1
NP_817524.1,NP_817524.1 gp75 [Mycobacterium phage Cjw1],PF01383,CpcD/allophycocyanin linker domain,NC_004681,Mycobacterium phage Cjw1
NP_817528.1,NP_817528.1 gp79 [Mycobacterium phage Cjw1],PF10622,Energy-converting hydrogenase B subunit P (EhbP),NC_004681,Mycobacterium phage Cjw1
NP_817535.1,NP_817535.1 gp86 [Mycobacterium phage Cjw1],PF01840,TCL1/MTCP1 family,NC_004681,Mycobacterium phage Cjw1
NP_817545.1,NP_817545.1 gp96 [Mycobacterium phage Cjw1],PF06006,Bacterial protein of unknown function (DUF905),NC_004681,Mycobacterium phage Cjw1
NP_817559.1,NP_817559.1 gp112 [Mycobacterium phage Cjw1],PF04496,Herpesvirus UL35 family,NC_004681,Mycobacterium phage Cjw1
NP_817566.1,NP_817566.1 gp119 [Mycobacterium phage Cjw1],PF03722,Hemocyanin all-alpha domain,NC_004681,Mycobacterium phage Cjw1
NP_817568.1,NP_817568.1 gp121 [Mycobacterium phage Cjw1],PF17399,Domain of unknown function (DUF5405),NC_004681,Mycobacterium phage Cjw1
NP_817572.1,NP_817572.1 gp125 [Mycobacterium phage Cjw1],PF00322,Endothelin family,NC_004681,Mycobacterium phage Cjw1
NP_817575.1,NP_817575.1 gp128 [Mycobacterium phage Cjw1],PF06786,Uncharacterised protein family (UPF0253),NC_004681,Mycobacterium phage Cjw1
NP_817578.1,NP_817578.1 gp131 [Mycobacterium phage Cjw1],PF04467,Protein of unknown function (DUF483),NC_004681,Mycobacterium phage Cjw1
NP_817579.1,NP_817579.1 gp132 [Mycobacterium phage Cjw1],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_004681,Mycobacterium phage Cjw1
NP_817581.1,NP_817581.1 gp134 [Mycobacterium phage Cjw1],PF03206,Nitrogen fixation protein NifW,NC_004681,Mycobacterium phage Cjw1
NP_817588.1,NP_817588.1 gp141 [Mycobacterium phage Cjw1],PF06183,DinI-like family,NC_004681,Mycobacterium phage Cjw1
NP_817591.1,NP_817591.1 gp144 [Mycobacterium phage Cjw1],PF10692,Protein of unknown function (DUF2498),NC_004681,Mycobacterium phage Cjw1
NP_817608.1,NP_817608.1 hypothetical protein PBI_BXZ2_191 [Mycobacterium phage Bxz2],PF04135,Nucleolar RNA-binding protein Nop10p family,NC_004682,Mycobacterium phage Bxz2
NP_817625.1,NP_817625.1 hypothetical protein PBI_BXZ2_36 [Mycobacterium phage Bxz2],PF15040,Humanin family,NC_004682,Mycobacterium phage Bxz2
NP_817630.1,NP_817630.1 hypothetical protein PBI_BXZ2_41 [Mycobacterium phage Bxz2],PF02911,Formyl transferase C-terminal domain,NC_004682,Mycobacterium phage Bxz2
NP_817631.1,NP_817631.1 hypothetical protein PBI_BXZ2_42 [Mycobacterium phage Bxz2],PF08181,DegQ (SacQ) family,NC_004682,Mycobacterium phage Bxz2
NP_817632.1,NP_817632.1 hypothetical protein PBI_BXZ2_43 [Mycobacterium phage Bxz2],PF08178,GnsA/GnsB toxin of bacterial toxin-antitoxin system,NC_004682,Mycobacterium phage Bxz2
NP_817660.1,NP_817660.1 hypothetical protein PBI_BXZ2_71 [Mycobacterium phage Bxz2],PF08175,Small acid-soluble spore protein O family,NC_004682,Mycobacterium phage Bxz2
NP_817669.1,NP_817669.1 hypothetical protein PBI_BXZ2_80 [Mycobacterium phage Bxz2],PF09228,Prokaryotic Transcriptional repressor TraM,NC_004682,Mycobacterium phage Bxz2
NP_817670.1,NP_817670.1 hypothetical protein PBI_BXZ2_81 [Mycobacterium phage Bxz2],PF03744,6-carboxyhexanoate--CoA ligase,NC_004682,Mycobacterium phage Bxz2
NP_817675.1,NP_817675.1 hypothetical protein PBI_BXZ2_86 [Mycobacterium phage Bxz2],PF04014,Antidote-toxin recognition MazE bacterial antitoxin,NC_004682,Mycobacterium phage Bxz2
NP_817734.1,NP_817734.1 gp57 [Mycobacterium phage Che9c],PF17466,Family of unknown function,NC_004683,Mycobacterium phage Che9c
NP_817744.1,NP_817744.1 gp67 [Mycobacterium phage Che9c],PF11058,Antirestriction protein Ral,NC_004683,Mycobacterium phage Che9c
